Year,Month,Kendalanda,Lassakanda,TRI,Sri_Lanka_Dollar Rate(LKR)
2014,July,75,68,69,130.22
2014,August,75,66,66,130.15
2014,September,70,66,62,130.28
2014,October,68.77,64,61,130.71
2014,November,67.5,64,61,131.02
2014,December,66.27,63,61,131.25
2015,January,65,60,56.15,131.91
2015,February,62,57,51.06,132.74
2015,March,73,57,60.21,133.05
2015,April,73,60,59,133.25
2015,May,61,64,59,133.51
2015,June,62.1,64,60.62,133.82
2015,July,80,62.03,75,133.95
2015,August,59,60,56,134.21
2015,September,55,52,54,139.75
2015,October,59,55,57,141.25
2015,November,64,61.64,61.86,142.1
2015,December,62,60.83,61.08,143.55
2016,January,62.76,60,58.04,143.95
2016,February,63.52,58,55,144.2
2016,March,64.24,59,59,144.65
2016,April,65,63,62.05,145.1
2016,May,66.48,67,65,145.45
2016,June,68,66,64,145.3
2016,July,71,69.93,67,145.55
2016,August,75,74,71,145.75
2016,September,79,79,77.1,146.15
2016,October,83.92,86,83,147.1
2016,November,89,88,89,148.25
2016,December,88,88,87,149.3
2017,January,88,88,87,150.15
2017,February,89,89,90.1,151.05
2017,March,93,92,92.9,151.9
2017,April,99,97,96,152.45
2017,May,99,95.03,99,152.75
2017,June,96,93,95,153.15
2017,July,88,91.52,93.52,153.6
2017,August,95,90,92,153.25
2017,September,98,99,93,153.4
2017,October,99,99,97,153.85
2017,November,94,93.41,91,153.7
2017,December,92,88,90,153.1
2018,January,93,89,91,154.05
2018,February,94,90,92.05,155.15
2018,March,95,91,93,155.75
2018,April,96.02,92,94,156.4
2018,May,97,93,95,158.15
2018,June,98,94.02,96,159.2
2018,July,99,95,96.98,160.05
2018,August,100,96,98,161.45
2018,September,102,98,100,167.55
2018,October,104,99.97,102,171.25
2018,November,106,102,104.03,176.4
2018,December,108,104,106,181.3
2019,January,108,105,107,182.15
2019,February,108,103.95,106,179.45
2019,March,107,103,104.58,178.2
2019,April,105,101,103,174.9
2019,May,106,101.98,104,176.25
2019,June,107,103,105,176.85
2019,July,106,102,105.49,176.1
2019,August,108,104,106,178.25
2019,September,110,105.52,108,181.15
2019,October,111,107,108,181.55
2019,November,110,106,108,180.2
2019,December,111,106.98,109,181.45
2020,January,112,108,110,181.65
2020,February,113,109.03,111,181.85
2020,March,114.45,110,112.45,185.25
2020,April,116,112,114,192.15
2020,May,115,111,113.02,187.9
2020,June,114,110.49,112,185.8
2020,July,114,110,112,185.95
2020,August,113,109,111,185.15
2020,September,112,107.98,110,184.85
2020,October,111,107,109,184.45
2020,November,112,108,110.52,185.1
2020,December,114,109.97,112,187.25
2021,January,116,112,114,191.25
2021,February,118,114.1,116,194.55
2021,March,120,116,117.42,198.2
2021,April,121,117,119,199.15
2021,May,121.98,117.98,120,199.55
2021,June,123,119,121.02,200.15
2021,July,124,120,122,200.45
2021,August,125,121,123,201.2
2021,September,126,122,124.02,201.95
2021,October,127,123,125,202.4
2021,November,128,124.02,126,202.85
2021,December,129,125,127,202.95
2022,January,106,105,109,202.15
2022,February,115,115,117,202.45
2022,March,137,132,142,275.4
2022,April,205,205,214,330.15
2022,May,220,220,232,358.2
2022,June,217,215,217,360.45
2022,July,243,232,237,361.15
2022,August,233,230,230,361.4
2022,September,240,243,242,362.25
2022,October,237,230,225,363.85
2022,November,220,215,212,365.15
2022,December,238,225,222,366.4
2023,January,240,230,230,367.15
2023,February,230,225,205.31,364.25
2023,March,205.6,190,183,325.1
2023,April,198,190,181,322.45
2023,May,166.1,154.04,160,305.8
2023,June,160,160,150,295.15
2023,July,169,161,156.52,312.45
2023,August,180.4,180,163.26,320.15
2023,September,190,185,170,324.4
2023,October,180,180,164.59,325.2
2023,November,174,170,159,327.45
2023,December,190,185,181,326.15
2024,January,207,205,188.93,320.45
2024,February,214,208,196.86,312.15
2024,March,211,200,194.87,305.25
2024,April,192,190,185.9,298.8
2024,May,199,195,191.96,300.15
2024,June,198,196,183.31,304.45
2024,July,200,195,183.52,303.25
2024,August,194,190,179.4,299.85
2024,September,191,185,175.27,301.4
2024,October,185,180,171.28,295.15
2024,November,174,175,171.92,292.8
2024,December,185,182,172.54,291.45
2025,January,194,185,173.77,293.15
2025,February,187,180,175,295.4
2025,March,191,180,177,296.85
2025,April,182,178,174,295.2
2025,May,184,180,174,297.45
2025,June,175,171,185.18,298.15
2025,July,187,181,196,298.95
2025,August,191,185,179,299.4
2025,September,187,186,176,301.25
2025,October,187,184,173,302.8
2025,November,187,182,171,305.15
2025,December,194,187,170,306.65
